Date,Open,High,Low,Close,Adj Close,Volume
2022-03-03,163.970001,165.190002,162.800003,163.270004,161.059860,5352200
2022-03-04,162.000000,166.500000,160.919998,165.750000,163.506271,6340300
2022-03-07,164.070007,165.149994,162.130005,162.449997,160.250946,6319500
2022-03-08,162.380005,163.970001,157.690002,157.869995,155.732941,6163700
2022-03-09,159.809998,160.059998,156.399994,157.399994,155.269302,5764900
2022-03-10,155.789993,156.250000,153.369995,154.509995,152.418427,6103700
2022-03-11,155.449997,156.889999,153.479996,153.729996,151.648987,4762600
2022-03-14,155.149994,157.800003,154.500000,155.889999,153.779755,6075600
2022-03-15,157.320007,159.500000,156.830002,159.000000,156.847656,6203400
2022-03-16,158.410004,159.990005,157.039993,159.699997,157.538177,6299000
2022-03-17,159.830002,161.630005,159.300003,160.940002,158.761398,3587600
2022-03-18,161.380005,162.929993,160.059998,162.789993,160.586334,12123000
2022-03-21,162.270004,163.809998,161.070007,162.559998,160.359451,5122600
2022-03-22,162.839996,164.770004,162.229996,164.339996,162.115372,5779200
2022-03-23,164.250000,165.279999,162.630005,163.479996,161.266998,4533700
2022-03-24,164.059998,164.729996,163.270004,164.470001,162.243607,3160300
2022-03-25,164.429993,165.899994,164.429993,165.240005,163.003189,4146800
2022-03-28,165.100006,165.770004,163.710007,165.729996,163.486542,4308000
2022-03-29,167.289993,168.580002,166.369995,168.190002,165.913254,4440400
2022-03-30,168.100006,168.240005,166.119995,167.960007,165.686371,3871500
2022-03-31,168.369995,169.300003,167.270004,167.380005,165.114212,6076200
2022-04-01,167.889999,169.929993,167.369995,169.759995,167.461990,3239600
2022-04-04,169.110001,169.389999,167.449997,169.320007,167.027954,3759900
2022-04-05,168.320007,171.380005,168.320007,169.500000,167.205521,4480700
2022-04-06,169.919998,172.699997,169.490005,172.389999,170.056396,4294800
2022-04-07,172.029999,173.279999,170.779999,172.550003,170.214233,5041600
2022-04-08,172.990005,173.690002,171.589996,173.130005,170.786392,3883100
2022-04-11,173.610001,174.970001,172.320007,172.600006,170.263550,3825100
2022-04-12,173.779999,174.649994,172.630005,173.300003,170.954086,3924300
2022-04-13,173.580002,173.820007,171.729996,173.000000,170.658127,4394000
2022-04-14,173.479996,174.259995,171.759995,171.899994,169.573013,4834300
2022-04-18,171.220001,172.309998,169.960007,170.419998,168.113052,3086000
2022-04-19,169.839996,173.169998,169.839996,172.899994,170.559494,3642000
2022-04-20,173.720001,175.970001,173.720001,175.470001,173.094696,4197600
2022-04-21,175.759995,177.240005,174.649994,174.839996,172.473221,3701300
2022-04-22,174.990005,175.270004,171.940002,172.149994,169.819641,5864000
2022-04-25,173.210007,173.919998,171.000000,173.740005,171.388123,7369900
2022-04-26,173.970001,175.350006,172.729996,173.300003,170.954086,7386600
2022-04-27,173.419998,176.690002,173.190002,174.850006,172.483109,5180300
